,state,fertility,population,territory,density,GDP,GDPcap,GDPgrowth,GDPcapgrowth,literacy,education
180,Poland,1.31,37470000.0,306090.0,126.0,979960.0,26805.0,2.8,0.5,99.8,0.869
181,Finland,1.3,5639600.0,303948.0,18.0,303945.0,54163.0,-0.2,-1.5,100.0,0.927
182,Spain,1.23,49077984.0,499714.0,96.0,1799511.0,36192.0,3.1,1.2,98.6,0.831
183,Japan,1.23,123440000.0,364500.0,340.0,4186431.0,33956.0,-0.2,2.4,99.0,0.851
184,Belarus,1.23,9109280.0,202990.0,45.0,71561.0,7875.0,3.6,4.4,99.9,0.838
185,Lithuania,1.22,2889402.0,62604.0,46.0,89192.0,30835.0,2.4,-1.7,99.8,0.898
186,Mauritius,1.21,1244477.0,1997.0,637.0,15495.0,12339.0,6.1,7.1,91.3,0.736
187,Italy,1.21,58934177.0,295720.0,201.0,2422855.0,41091.0,0.6,1.2,99.2,0.793
188,United Arab Emirates,1.21,10678556.0,71020.0,155.0,548598.0,51294.0,4.0,2.6,97.6,0.802
189,Thailand,1.2,65932105.0,510890.0,140.0,546224.0,7767.0,2.7,1.7,93.8,0.682
190,San Marino,1.16,34042.0,60.0,560.0,2047.0,59603.0,0.7,9.3,99.9,
191,Chile,1.13,20086377.0,743532.0,27.0,343823.0,17015.0,2.5,0.1,96.3,0.81
192,Malta,1.11,563443.0,320.0,1686.0,25750.0,45735.0,5.0,1.4,94.5,0.825
193,Andorra,1.1,87486.0,470.0,174.0,4035.0,45263.0,1.4,1.1,100.0,0.72
194,China,1.02,1408280000.0,9388210.0,151.0,19231705.0,13688.0,4.8,5.3,96.8,0.862
195,Vatican City,1.0,882.0,0.5,1800.0,,,,,,
196,Ukraine,1.0,32962000.0,579400.0,65.0,205742.0,6261.0,3.0,-17.1,99.8,0.799
197,Singapore,0.96,6036900.0,718.0,8120.0,564774.0,92932.0,2.6,-3.7,97.5,0.924
198,Taiwan,0.86,23374742.0,35410.0,656.0,804889.0,34426.0,3.7,,98.7,
199,South Korea,0.75,51183336.0,97600.0,530.0,1790322.0,34642.0,2.2,1.3,98.0,0.865
